Surf n' Safari,8 Million,"2 Rows, 2 Columns, or 1 Of Each",Start Multiball
Hot Tip,35 K,Knock Down All 6 Drops (On Same Ball),Hit 2X Light
Laser War,500 K,Blue Multiball,Red Multiball
Joker Poker,125 K,Set Of Aces,Set of Kings
Little Chief,35 K,"Light ""Special""",Max Out The Bonus (Light 10)
Harlem Globetrotters,100 K,Spell GLOBE,Light 1000 Spinner
Alien Poker,200 K,Light 4X FLUSH Multiplier,Light 4x BONUS Multiplier
Alice Cooper,6 Million,Frankenstein Multiball,Start Two Modes
AC/DC,9 Million,Start Tour Multiball (Orbits),Change Jukebox Song Twice
Walking Dead,12 Million,Start RIOT,Start Any Multiball
Rick & Morty,4 Million,Collect 4 Megaseeds,Complete Any Mode (Green Stamp)
Genesis,150 K,Collect Two Full Body Parts,Complete Two Sets Of Drops
Medusa,Set it on Fire,https://www.youtube.com/watch?v=uzb6zDFg3WQ,Push It Off A Cliff
Attack from Mars,1 Billion,Kill Two Spaceships,Start Martian Attack
Road Show,70 Million,Get 6X Bonus Multiplier,Collect Four Items
Indianapolis 500,65 Million,Start 3 Modes,Start Multiball
Iron Maiden,20 Million,Start 2 Modes,Start Multiball
Black Knight,100 K,Collect Any Drop Target Set Three Times,Like 3X Bonus
Eight Ball Deluxe,250 K,Hit 5X Multiplier,Hit The 8 Ball Drop Target
Jurassic Park,20 Million,Start CHAOS,I don't fucking know I don't really like this game
Fish Tales,35 million,Catch One Monster Fish,Start Multiball
